name,slug,region,location,homepage,status,lat,lng,soundtap_url
Bushradio,bushradio,Africa/Middle East,,,,-33.932436,18.456742,http://soundtap.com/bushradio/
Ghetto Radio,ghettoradio,Africa/Middle East,,,,-1.273718,36.831767,http://soundtap.com/ghettoradio/
Kol Ha Campus,kolhacampus,Africa/Middle East,,,,32.0852999,34.7817676,http://soundtap.com/kolhacampus/
Ness Radio,nessradio,Africa/Middle East,,,,31.6294723,-7.9810845,http://soundtap.com/nessradio/
Radio Beirut,radiobeirut,Africa/Middle East,,,,33.8937913,35.5017767,http://soundtap.com/radiobeirut/
RockPop United,rockpopunited,Africa/Middle East,,,,33.5731104,-7.5898434,http://soundtap.com/rockpopunited/
Kaskus Radio,kaskusradio,Asia,,,,-6.14205,106.816068,http://soundtap.com/kaskusradio/
RBMA Radio,rbmaradio,Asia,,,,13.0448862,80.1583178,http://soundtap.com/rbmaradio/
Seoul Community Radio,seoulcommunityradio,Asia,,,,37.566535,126.9779692,http://soundtap.com/seoulcommunityradio/
1431AM,1431am,Europe,"Thessaloniki, Greece",http://www.1431am.org/,active,40.6393495,22.9446064,http://soundtap.com/1431am/
Academy FM,academyfm,Europe,,,,51.081397,1.169456,http://soundtap.com/academyfm/
Acik Radyo,acikradyo,Europe,,,,41.0082376,28.9783589,http://soundtap.com/acikradyo/
B92,b92,Europe,,,,44.817425,20.420311,http://soundtap.com/b92/
Bailrigg FM,bailriggfm,Europe,,,,54.048151,-2.803827,http://soundtap.com/bailriggfm/
Bartok Radio,bartokradio,Europe,,,,47.492365,19.064367,http://soundtap.com/bartokradio/
BAU Radyo,bauradyo,Europe,,,,41.0082376,28.9783589,http://soundtap.com/bauradyo/
BBC Radio,bbcradio,Europe,,,,51.5073509,-0.1277583,http://soundtap.com/bbcradio/
Berlin Community Radio,berlincommunityradiostation,Europe,,,,52.502238,13.439411,http://soundtap.com/berlincommunityradiostation/
BT Radio,btradio,Europe,,,,48.82438,2.370375,http://soundtap.com/btradio/
Burst Radio,burstradio,Europe,,,,51.456715,-2.61287,http://soundtap.com/burstradio/
ByteFM,bytefm,Europe,,,,52.5117622,13.4558552,http://soundtap.com/bytefm/
Cambridge 105,cambridge105,Europe,,,,52.202419,0.139252,http://soundtap.com/cambridge105/
Controradio Firenze,controradiofirenze,Europe,,,,43.7695604,11.2558136,http://soundtap.com/controradiofirenze/
DemonFM,demonfm,Europe,,,,52.6368778,-1.1397592,http://soundtap.com/demonfm/
Dinamo,dinamo,Europe,,,,40.983483,29.022718,http://soundtap.com/dinamo/
dublab.es,dublabes,Europe,,,,41.3850639,2.1734035,http://soundtap.com/dublabes/
Dublin Digital Radio,dublindigitalradio,Europe,,,,53.3498053,-6.2603097,http://soundtap.com/dublindigitalradio/
ExpressFM,expressfm,Europe,,,,50.80003,-1.087291,http://soundtap.com/expressfm/
FelixstoweRadio,felixstoweradio,Europe,,,,51.961726,1.351255,http://soundtap.com/felixstoweradio/
FIP Radio,fipradio,Europe,,,,48.856614,2.3522219,http://soundtap.com/fipradio/
FLY FM,flyfm,Europe,,,,52.955078,-1.148277,http://soundtap.com/flyfm/
FM4,fm4,Europe,,,,48.2081743,16.3738189,http://soundtap.com/fm4/
Forge Radio,forgeradio,Europe,,,,53.380889,-1.487534,http://soundtap.com/forgeradio/
Fresh Air Radio,freshairradio,Europe,,,,55.952682,-3.194658,http://soundtap.com/freshairradio/
Fréquence Banane,frquencebanane,Europe,,,,46.174703,6.141848,http://soundtap.com/frquencebanane/
Future Radio,futureradio,Europe,,,,52.637282,1.241411,http://soundtap.com/futureradio/
International Radio Festival,internationalradiofestival,Europe,,,,47.3686498,8.5391825,http://soundtap.com/internationalradiofestival/
ITU Radyosu,ituradyosu,Europe,,,,41.0082376,28.9783589,http://soundtap.com/ituradyosu/
KaneFM,kanefm,Europe,,,,51.3147593,-0.5599501,http://soundtap.com/kanefm/
KU Radyo,kuradyo,Europe,,,,41.104521,29.00001,http://soundtap.com/kuradyo/
LCR,lcr,Europe,,,,52.487557,-1.483812,http://soundtap.com/lcr/
LeMellotron,lemellotron,Europe,,,,48.856614,2.3522219,http://soundtap.com/lemellotron/
